TXNAME	GENEID
lcl|BK006935.2_mrna_76	YAR008W
lcl|BK006935.2_mrna_77	YAR009C
lcl|BK006935.2_mrna_78	YAR010C
lcl|BK006935.2_trna_79	tA(UGC)A
lcl|BK006935.2_mrna_80	YAR014C
lcl|BK006935.2_mrna_81	YAR015W
lcl|BK006935.2_mrna_82	YAR018C
lcl|BK006935.2_mrna_83	YAR019C
lcl|BK006935.2_mrna_84	YAR020C
lcl|BK006935.2_mrna_85	YAR023C
lcl|BK006935.2_trna_86	tL(CAA)A
lcl|BK006935.2_trna_87	tS(AGA)A
lcl|BK006935.2_mrna_88	YAR027W
lcl|BK006935.2_mrna_89	YAR028W
lcl|BK006935.2_mrna_90	YAR029W
lcl|BK006935.2_mrna_91	YAR031W
lcl|BK006935.2_mrna_92	YAR033W
lcl|BK006935.2_mrna_93	YAR035W
lcl|BK006935.2_mrna_94	YAR035C-A
lcl|BK006935.2_mrna_95	YAR042W
lcl|BK006935.2_mrna_96	YAR050W
lcl|BK006935.2_mrna_97	YAR061W
lcl|BK006935.2_mrna_98	YAR064W
lcl|BK006935.2_mrna_99	YAR066W
lcl|BK006935.2_mrna_100	YAR068W
lcl|BK006935.2_mrna_101	YAR071W
lcl|BK006936.2_mrna_102	YBL113C
lcl|BK006936.2_mrna_103	YBL112C
lcl|BK006936.2_mrna_104	YBL111C
lcl|BK006936.2_mrna_105	YBL108C-A
lcl|BK006936.2_trna_106	tL(UAA)B1
lcl|BK006936.2_mrna_107	YBL107C
lcl|BK006936.2_mrna_108	YBL106C
lcl|BK006936.2_mrna_109	YBL105C
lcl|BK006936.2_mrna_110	YBL104C
lcl|BK006936.2_mrna_111	YBL103C
lcl|BK006936.2_mrna_112	YBL102W
lcl|BK006936.2_mrna_113	YBL101C
lcl|BK006936.2_mrna_114	YBL100W-C
lcl|BK006936.2_mrna_115	YBL100W-B
lcl|BK006936.2_mrna_116	YBL100W-A
lcl|BK006936.2_trna_117	tF(GAA)B
lcl|BK006936.2_mrna_118	YBL099W
lcl|BK006936.2_mrna_119	YBL098W
lcl|BK006936.2_mrna_120	YBL097W
lcl|BK006936.2_mrna_121	YBL095W
lcl|BK006936.2_mrna_122	YBL093C
lcl|BK006936.2_mrna_123	YBL092W
lcl|BK006936.2_mrna_124	YBL091C-A
lcl|BK006936.2_mrna_125	YBL091C
lcl|BK006936.2_mrna_126	YBL090W
lcl|BK006936.2_mrna_127	YBL089W
lcl|BK006936.2_mrna_128	YBL088C
lcl|BK006936.2_mrna_129	YBL087C
lcl|BK006936.2_mrna_130	YBL086C
lcl|BK006936.2_mrna_131	YBL085W
lcl|BK006936.2_mrna_132	YBL084C
lcl|BK006936.2_mrna_133	YBL082C
lcl|BK006936.2_mrna_134	YBL081W
lcl|BK006936.2_mrna_135	YBL080C
lcl|BK006936.2_mrna_136	YBL079W
lcl|BK006936.2_mrna_137	YBL078C
lcl|BK006936.2_mrna_138	YBL076C
lcl|BK006936.2_mrna_139	YBL075C
lcl|BK006936.2_mrna_140	YBL074C
lcl|BK006936.2_ncrna_141	snR56
lcl|BK006936.2_mrna_142	YBL072C
lcl|BK006936.2_mrna_143	YBL071C-B
lcl|BK006936.2_mrna_144	YBL071W-A
lcl|BK006936.2_mrna_145	YBL071C
lcl|BK006936.2_mrna_146	YBL069W
lcl|BK006936.2_mrna_147	YBL068W
lcl|BK006936.2_mrna_148	YBL067C
lcl|BK006936.2_mrna_149	YBL066C
lcl|BK006936.2_mrna_150	YBL064C
lcl|BK006936.2_mrna_151	YBL063W
lcl|BK006936.2_mrna_152	YBL061C
lcl|BK006936.2_mrna_153	YBL060W
lcl|BK006936.2_mrna_154	YBL059C-A
lcl|BK006936.2_mrna_155	YBL059W
lcl|BK006936.2_mrna_156	YBL058W
lcl|BK006936.2_mrna_157	YBL057C
lcl|BK006936.2_mrna_158	YBL056W
lcl|BK006936.2_mrna_159	YBL055C
lcl|BK006936.2_mrna_160	YBL054W
lcl|BK006936.2_mrna_161	YBL052C
lcl|BK006936.2_mrna_162	YBL051C
lcl|BK006936.2_mrna_163	YBL050W
lcl|BK006936.2_mrna_164	YBL049W
lcl|BK006936.2_mrna_165	YBL048W
lcl|BK006936.2_mrna_166	YBL047C
lcl|BK006936.2_mrna_167	YBL046W
lcl|BK006936.2_mrna_168	YBL045C
lcl|BK006936.2_mrna_169	YBL044W
lcl|BK006936.2_mrna_170	YBL043W
lcl|BK006936.2_mrna_171	YBL042C
lcl|BK006936.2_mrna_172	YBL041W
lcl|BK006936.2_mrna_173	YBL040C
lcl|BK006936.2_mrna_174	YBL039W-B
lcl|BK006936.2_mrna_175	YBL039C
lcl|BK006936.2_mrna_176	YBL038W
lcl|BK006936.2_mrna_177	YBL037W
lcl|BK006936.2_mrna_178	YBL036C
lcl|BK006936.2_mrna_179	YBL035C
lcl|BK006936.2_mrna_180	YBL034C
lcl|BK006936.2_mrna_181	YBL033C
lcl|BK006936.2_mrna_182	YBL032W
lcl|BK006936.2_mrna_183	YBL031W
lcl|BK006936.2_mrna_184	YBL030C
lcl|BK006936.2_mrna_185	YBL029C-A
lcl|BK006936.2_mrna_186	YBL029W
lcl|BK006936.2_mrna_187	YBL028C
lcl|BK006936.2_mrna_188	YBL027W
lcl|BK006936.2_mrna_189	YBL026W
lcl|BK006936.2_mrna_190	YBL025W
lcl|BK006936.2_mrna_191	YBL024W
lcl|BK006936.2_mrna_192	YBL023C
lcl|BK006936.2_mrna_193	YBL022C
lcl|BK006936.2_mrna_194	YBL021C
lcl|BK006936.2_mrna_195	YBL020W
lcl|BK006936.2_mrna_196	YBL019W
lcl|BK006936.2_mrna_197	YBL018C
lcl|BK006936.2_mrna_198	YBL017C
lcl|BK006936.2_mrna_199	YBL016W
lcl|BK006936.2_mrna_200	YBL015W
lcl|BK006936.2_trna_201	tI(AAU)B
lcl|BK006936.2_trna_202	tG(GCC)B
lcl|BK006936.2_mrna_203	YBL014C
lcl|BK006936.2_mrna_204	YBL013W
lcl|BK006936.2_mrna_205	YBL011W
lcl|BK006936.2_mrna_206	YBL010C
lcl|BK006936.2_mrna_207	YBL009W
lcl|BK006936.2_mrna_208	YBL008W-A
lcl|BK006936.2_mrna_209	YBL008W
lcl|BK006936.2_mrna_210	YBL007C
lcl|BK006936.2_mrna_211	YBL006C
lcl|BK006936.2_mrna_212	YBL005W
lcl|BK006936.2_mrna_213	YBL005W-B
lcl|BK006936.2_mrna_214	YBL005W-A
lcl|BK006936.2_trna_215	tS(AGA)B
lcl|BK006936.2_mrna_216	YBL004W
lcl|BK006936.2_mrna_217	YBL003C
lcl|BK006936.2_mrna_218	YBL002W
lcl|BK006936.2_mrna_219	YBL001C
lcl|BK006936.2_mrna_220	YBR001C
lcl|BK006936.2_mrna_221	YBR002C
lcl|BK006936.2_mrna_222	YBR003W
lcl|BK006936.2_mrna_223	YBR004C
lcl|BK006936.2_mrna_224	YBR005W
lcl|BK006936.2_mrna_225	YBR006W
lcl|BK006936.2_mrna_226	YBR007C
lcl|BK006936.2_mrna_227	YBR008C
lcl|BK006936.2_mrna_228	YBR009C
lcl|BK006936.2_mrna_229	YBR010W
lcl|BK006936.2_mrna_230	YBR011C
lcl|BK006936.2_mrna_231	YBR012W-B
lcl|BK006936.2_mrna_232	YBR012W-A
lcl|BK006936.2_mrna_233	YBR013C
lcl|BK006936.2_trna_234	tT(AGU)B
lcl|BK006936.2_mrna_235	YBR014C
lcl|BK006936.2_mrna_236	YBR015C
lcl|BK006936.2_mrna_237	YBR016W
lcl|BK006936.2_mrna_238	YBR017C
lcl|BK006936.2_mrna_239	YBR018C
lcl|BK006936.2_mrna_240	YBR019C
lcl|BK006936.2_mrna_241	YBR020W
lcl|BK006936.2_mrna_242	YBR021W
lcl|BK006936.2_mrna_243	YBR022W
lcl|BK006936.2_mrna_244	YBR023C
lcl|BK006936.2_mrna_245	YBR024W
lcl|BK006936.2_mrna_246	YBR025C
lcl|BK006936.2_mrna_247	YBR026C
lcl|BK006936.2_mrna_248	YBR027C
lcl|BK006936.2_mrna_249	YBR028C
lcl|BK006936.2_mrna_250	YBR029C
lcl|BK006936.2_mrna_251	YBR030W
lcl|BK006936.2_mrna_252	YBR031W
lcl|BK006936.2_mrna_253	YBR032W
lcl|BK006936.2_mrna_254	YBR033W
lcl|BK006936.2_mrna_255	YBR034C
lcl|BK006936.2_mrna_256	YBR035C
lcl|BK006936.2_ncrna_257	snR161
lcl|BK006936.2_ncrna_258	TLC1
lcl|BK006936.2_mrna_259	YBR036C
lcl|BK006936.2_mrna_260	YBR037C
lcl|BK006936.2_mrna_261	YBR038W
lcl|BK006936.2_mrna_262	YBR039W
lcl|BK006936.2_mrna_263	YBR040W
lcl|BK006936.2_mrna_264	YBR041W
lcl|BK006936.2_mrna_265	YBR042C
lcl|BK006936.2_mrna_266	YBR043C
lcl|BK006936.2_mrna_267	YBR044C
lcl|BK006936.2_trna_268	tV(UAC)B
lcl|BK006936.2_mrna_269	YBR045C
lcl|BK006936.2_mrna_270	YBR046C
lcl|BK006936.2_mrna_271	YBR047W
lcl|BK006936.2_mrna_272	YBR048W
lcl|BK006936.2_mrna_273	YBR049C
lcl|BK006936.2_mrna_274	YBR050C
lcl|BK006936.2_mrna_275	YBR052C
lcl|BK006936.2_mrna_276	YBR053C
lcl|BK006936.2_mrna_277	YBR054W
lcl|BK006936.2_mrna_278	YBR055C
lcl|BK006936.2_trna_279	tL(UAA)B2
lcl|BK006936.2_mrna_280	YBR056W
lcl|BK006936.2_trna_281	tQ(UUG)B
lcl|BK006936.2_mrna_282	YBR056W-A
lcl|BK006936.2_mrna_283	YBR057C
lcl|BK006936.2_mrna_284	YBR058C
lcl|BK006936.2_mrna_285	YBR058C-A
lcl|BK006936.2_mrna_286	YBR059C
lcl|BK006936.2_mrna_287	YBR060C
lcl|BK006936.2_mrna_288	YBR061C
lcl|BK006936.2_mrna_289	YBR062C
lcl|BK006936.2_mrna_290	YBR063C
lcl|BK006936.2_mrna_291	YBR065C
lcl|BK006936.2_mrna_292	YBR066C
lcl|BK006936.2_mrna_293	YBR067C
lcl|BK006936.2_mrna_294	YBR068C
lcl|BK006936.2_mrna_295	YBR069C
lcl|BK006936.2_mrna_296	YBR070C
lcl|BK006936.2_mrna_297	YBR071W
lcl|BK006936.2_mrna_298	YBR072W
lcl|BK006936.2_mrna_299	YBR072C-A
lcl|BK006936.2_mrna_300	YBR073W
lcl|BK006936.2_mrna_301	YBR074W
lcl|BK006936.2_mrna_302	YBR076W
lcl|BK006936.2_mrna_303	YBR077C
lcl|BK006936.2_mrna_304	YBR078W
lcl|BK006936.2_mrna_305	YBR079C
lcl|BK006936.2_mrna_306	YBR080C
lcl|BK006936.2_mrna_307	YBR081C
lcl|BK006936.2_trna_308	tR(UCU)B
lcl|BK006936.2_trna_309	tD(GUC)B
lcl|BK006936.2_mrna_310	YBR082C
lcl|BK006936.2_mrna_311	YBR083W
lcl|BK006936.2_mrna_312	YBR084W
lcl|BK006936.2_mrna_313	YBR084C-A
lcl|BK006936.2_mrna_314	YBR085W
lcl|BK006936.2_mrna_315	YBR085C-A
lcl|BK006936.2_mrna_316	YBR086C
lcl|BK006936.2_mrna_317	YBR087W
lcl|BK006936.2_mrna_318	YBR088C
lcl|BK006936.2_mrna_319	YBR089C-A
lcl|BK006936.2_mrna_320	YBR090C
lcl|BK006936.2_mrna_321	YBR091C
lcl|BK006936.2_mrna_322	YBR092C
lcl|BK006936.2_mrna_323	YBR093C
lcl|BK006936.2_mrna_324	YBR094W
lcl|BK006936.2_mrna_325	YBR095C
lcl|BK006936.2_mrna_326	YBR096W
lcl|BK006936.2_mrna_327	YBR097W
lcl|BK006936.2_mrna_328	YBR098W
lcl|BK006936.2_mrna_329	YBR101C
lcl|BK006936.2_mrna_330	YBR102C
lcl|BK006936.2_mrna_331	YBR103W
lcl|BK006936.2_mrna_332	YBR104W
lcl|BK006936.2_mrna_333	YBR105C
lcl|BK006936.2_mrna_334	YBR106W
lcl|BK006936.2_mrna_335	YBR107C
lcl|BK006936.2_mrna_336	YBR108W
lcl|BK006936.2_mrna_337	YBR109C
lcl|BK006936.2_mrna_338	YBR110W
lcl|BK006936.2_mrna_339	YBR111C
lcl|BK006936.2_mrna_340	YBR111W-A
lcl|BK006936.2_mrna_341	YBR112C
lcl|BK006936.2_mrna_342	YBR114W
lcl|BK006936.2_mrna_343	YBR115C
lcl|BK006936.2_mrna_344	YBR117C
lcl|BK006936.2_mrna_345	YBR118W
lcl|BK006936.2_mrna_346	YBR119W
lcl|BK006936.2_mrna_347	YBR120C
lcl|BK006936.2_mrna_348	YBR121C
lcl|BK006936.2_mrna_349	YBR122C
lcl|BK006936.2_mrna_350	YBR123C
lcl|BK006936.2_mrna_351	YBR125C
lcl|BK006936.2_mrna_352	YBR126C
lcl|BK006936.2_mrna_353	YBR126W-A
lcl|BK006936.2_mrna_354	YBR127C
lcl|BK006936.2_mrna_355	YBR128C
lcl|BK006936.2_mrna_356	YBR129C
lcl|BK006936.2_mrna_357	YBR130C
lcl|BK006936.2_mrna_358	YBR131W
lcl|BK006936.2_mrna_359	YBR132C
lcl|BK006936.2_mrna_360	YBR133C
lcl|BK006936.2_mrna_361	YBR135W
lcl|BK006936.2_mrna_362	YBR136W
lcl|BK006936.2_mrna_363	YBR137W
lcl|BK006936.2_mrna_364	YBR138C
lcl|BK006936.2_mrna_365	YBR139W
lcl|BK006936.2_mrna_366	YBR140C
lcl|BK006936.2_mrna_367	YBR141C
lcl|BK006936.2_mrna_368	YBR142W
lcl|BK006936.2_mrna_369	YBR143C
lcl|BK006936.2_mrna_370	YBR144C
lcl|BK006936.2_mrna_371	YBR145W
lcl|BK006936.2_mrna_372	YBR146W
lcl|BK006936.2_mrna_373	YBR147W
lcl|BK006936.2_mrna_374	YBR148W
lcl|BK006936.2_mrna_375	YBR149W
lcl|BK006936.2_mrna_376	YBR150C
lcl|BK006936.2_mrna_377	YBR151W
lcl|BK006936.2_mrna_378	YBR152W
lcl|BK006936.2_mrna_379	YBR153W
lcl|BK006936.2_mrna_380	YBR154C
lcl|BK006936.2_mrna_381	YBR155W
lcl|BK006936.2_mrna_382	YBR156C
lcl|BK006936.2_mrna_383	YBR157C
lcl|BK006936.2_mrna_384	YBR158W
lcl|BK006936.2_mrna_385	YBR159W
lcl|BK006936.2_mrna_386	YBR160W
lcl|BK006936.2_mrna_387	YBR161W
lcl|BK006936.2_mrna_388	YBR162C
lcl|BK006936.2_mrna_389	YBR162W-A
lcl|BK006936.2_mrna_390	YBR163W
lcl|BK006936.2_mrna_391	YBR164C
lcl|BK006936.2_mrna_392	YBR165W
lcl|BK006936.2_mrna_393	YBR166C
lcl|BK006936.2_mrna_394	YBR167C
lcl|BK006936.2_mrna_395	YBR168W
lcl|BK006936.2_mrna_396	YBR169C
lcl|BK006936.2_mrna_397	YBR170C
lcl|BK006936.2_mrna_398	YBR171W
lcl|BK006936.2_mrna_399	YBR172C
lcl|BK006936.2_mrna_400	YBR173C
lcl|BK006936.2_mrna_401	YBR175W
lcl|BK006936.2_mrna_402	YBR176W
lcl|BK006936.2_mrna_403	YBR177C
lcl|BK006936.2_mrna_404	YBR179C
lcl|BK006936.2_mrna_405	YBR180W
lcl|BK006936.2_mrna_406	YBR181C
lcl|BK006936.2_mrna_407	YBR182C
lcl|BK006936.2_mrna_408	YBR182C-A
lcl|BK006936.2_mrna_409	YBR183W
lcl|BK006936.2_mrna_410	YBR184W
lcl|BK006936.2_mrna_411	YBR185C
lcl|BK006936.2_mrna_412	YBR186W
lcl|BK006936.2_mrna_413	YBR187W
lcl|BK006936.2_mrna_414	YBR188C
lcl|BK006936.2_mrna_415	YBR189W
lcl|BK006936.2_mrna_416	YBR191W
lcl|BK006936.2_mrna_417	YBR192W
lcl|BK006936.2_mrna_418	YBR193C
lcl|BK006936.2_mrna_419	YBR194W
lcl|BK006936.2_mrna_420	YBR195C
lcl|BK006936.2_mrna_421	YBR196C
lcl|BK006936.2_mrna_422	YBR196C-A
lcl|BK006936.2_mrna_423	YBR196C-B
lcl|BK006936.2_mrna_424	YBR197C
lcl|BK006936.2_mrna_425	YBR198C
lcl|BK006936.2_mrna_426	YBR199W
lcl|BK006936.2_mrna_427	YBR200W
lcl|BK006936.2_mrna_428	YBR200W-A
lcl|BK006936.2_mrna_429	YBR201W
lcl|BK006936.2_mrna_430	YBR201C-A
lcl|BK006936.2_mrna_431	YBR202W
lcl|BK006936.2_mrna_432	YBR203W
lcl|BK006936.2_mrna_433	YBR204C
lcl|BK006936.2_mrna_434	YBR205W
lcl|BK006936.2_mrna_435	YBR207W
lcl|BK006936.2_mrna_436	YBR208C
lcl|BK006936.2_mrna_437	YBR209W
lcl|BK006936.2_trna_438	tC(GCA)B
lcl|BK006936.2_trna_439	tE(UUC)B
lcl|BK006936.2_mrna_440	YBR210W
lcl|BK006936.2_mrna_441	YBR211C
lcl|BK006936.2_mrna_442	YBR212W
lcl|BK006936.2_mrna_443	YBR213W
lcl|BK006936.2_mrna_444	YBR214W
lcl|BK006936.2_mrna_445	YBR215W
lcl|BK006936.2_mrna_446	YBR216C
lcl|BK006936.2_mrna_447	YBR217W
lcl|BK006936.2_mrna_448	YBR218C
lcl|BK006936.2_mrna_449	YBR219C
lcl|BK006936.2_mrna_450	YBR220C
lcl|BK006936.2_mrna_451	YBR221C
lcl|BK006936.2_mrna_452	YBR221W-A
lcl|BK006936.2_mrna_453	YBR222C
lcl|BK006936.2_mrna_454	YBR223C
lcl|BK006936.2_mrna_455	YBR225W
lcl|BK006936.2_mrna_456	YBR227C
lcl|BK006936.2_mrna_457	YBR228W
lcl|BK006936.2_mrna_458	YBR229C
lcl|BK006936.2_mrna_459	YBR230C
lcl|BK006936.2_mrna_460	YBR230W-A
lcl|BK006936.2_ncrna_461	LSR1
lcl|BK006936.2_mrna_462	YBR231C
lcl|BK006936.2_mrna_463	YBR233W
lcl|BK006936.2_mrna_464	YBR233W-A
lcl|BK006936.2_mrna_465	YBR234C
lcl|BK006936.2_mrna_466	YBR235W
lcl|BK006936.2_mrna_467	YBR236C
lcl|BK006936.2_mrna_468	YBR237W
lcl|BK006936.2_mrna_469	YBR238C
lcl|BK006936.2_mrna_470	YBR239C
lcl|BK006936.2_mrna_471	YBR240C
lcl|BK006936.2_mrna_472	YBR241C
lcl|BK006936.2_mrna_473	YBR242W
lcl|BK006936.2_mrna_474	YBR243C
lcl|BK006936.2_mrna_475	YBR244W
lcl|BK006936.2_mrna_476	YBR245C
lcl|BK006936.2_mrna_477	YBR246W
lcl|BK006936.2_mrna_478	YBR247C
lcl|BK006936.2_mrna_479	YBR248C
lcl|BK006936.2_mrna_480	YBR249C
lcl|BK006936.2_mrna_481	YBR250W
lcl|BK006936.2_mrna_482	YBR251W
lcl|BK006936.2_mrna_483	YBR252W
lcl|BK006936.2_mrna_484	YBR253W
lcl|BK006936.2_mrna_485	YBR254C
lcl|BK006936.2_mrna_486	YBR255W
lcl|BK006936.2_mrna_487	YBR255C-A
lcl|BK006936.2_mrna_488	YBR256C
lcl|BK006936.2_mrna_489	YBR257W
lcl|BK006936.2_mrna_490	YBR258C
lcl|BK006936.2_mrna_491	YBR259W
lcl|BK006936.2_mrna_492	YBR260C
lcl|BK006936.2_mrna_493	YBR261C
lcl|BK006936.2_mrna_494	YBR262C
lcl|BK006936.2_mrna_495	YBR263W
lcl|BK006936.2_mrna_496	YBR264C
lcl|BK006936.2_mrna_497	YBR265W
lcl|BK006936.2_mrna_498	YBR267W
lcl|BK006936.2_mrna_499	YBR268W
lcl|BK006936.2_mrna_500	YBR269C
lcl|BK006936.2_mrna_501	YBR270C
lcl|BK006936.2_mrna_502	YBR271W
lcl|BK006936.2_mrna_503	YBR272C
lcl|BK006936.2_mrna_504	YBR273C
lcl|BK006936.2_mrna_505	YBR274W
lcl|BK006936.2_mrna_506	YBR275C
lcl|BK006936.2_mrna_507	YBR276C
lcl|BK006936.2_mrna_508	YBR278W
lcl|BK006936.2_mrna_509	YBR279W
lcl|BK006936.2_mrna_510	YBR280C
lcl|BK006936.2_mrna_511	YBR281C
lcl|BK006936.2_mrna_512	YBR282W
lcl|BK006936.2_mrna_513	YBR283C
lcl|BK006936.2_mrna_514	YBR284W
lcl|BK006936.2_mrna_515	YBR285W
lcl|BK006936.2_mrna_516	YBR286W
lcl|BK006936.2_mrna_517	YBR287W
lcl|BK006936.2_mrna_518	YBR288C
lcl|BK006936.2_mrna_519	YBR289W
lcl|BK006936.2_mrna_520	YBR290W
lcl|BK006936.2_mrna_521	YBR291C
lcl|BK006936.2_mrna_522	YBR292C
lcl|BK006936.2_mrna_523	YBR293W
lcl|BK006936.2_mrna_524	YBR294W
lcl|BK006936.2_mrna_525	YBR295W
lcl|BK006936.2_mrna_526	YBR296C
lcl|BK006936.2_mrna_527	YBR296C-A
lcl|BK006936.2_mrna_528	YBR297W
lcl|BK006936.2_mrna_529	YBR298C
lcl|BK006936.2_mrna_530	YBR298C-A
lcl|BK006936.2_mrna_531	YBR299W
lcl|BK006936.2_mrna_532	YBR301W
lcl|BK006936.2_mrna_533	YBR302C
lcl|BK006937.2_mrna_534	YCL075W
lcl|BK006937.2_mrna_535	YCL074W
lcl|BK006937.2_mrna_536	YCL073C
lcl|BK006937.2_mrna_537	YCL069W
lcl|BK006937.2_mrna_538	YCL068C
lcl|BK006937.2_mrna_539	YCL067C
lcl|BK006937.2_mrna_540	YCL066W
lcl|BK006937.2_mrna_541	YCL064C
lcl|BK006937.2_mrna_542	YCL063W
lcl|BK006937.2_mrna_543	YCL061C
lcl|BK006937.2_mrna_544	YCL059C
lcl|BK006937.2_mrna_545	YCL058C
lcl|BK006937.2_mrna_546	YCL058W-A
lcl|BK006937.2_mrna_547	YCL057C-A
lcl|BK006937.2_mrna_548	YCL057W
lcl|BK006937.2_mrna_549	YCL056C
lcl|BK006937.2_mrna_550	YCL055W
lcl|BK006937.2_mrna_551	YCL054W-A
lcl|BK006937.2_mrna_552	YCL054W
lcl|BK006937.2_mrna_553	YCL052C
lcl|BK006937.2_mrna_554	YCL051W
lcl|BK006937.2_mrna_555	YCL050C
lcl|BK006937.2_mrna_556	YCL049C
lcl|BK006937.2_mrna_557	YCL048W-A
lcl|BK006937.2_mrna_558	YCL048W
lcl|BK006937.2_mrna_559	YCL047C
lcl|BK006937.2_mrna_560	YCL045C
lcl|BK006937.2_mrna_561	YCL044C
lcl|BK006937.2_mrna_562	YCL043C
lcl|BK006937.2_mrna_563	YCL042W
lcl|BK006937.2_mrna_564	YCL040W
lcl|BK006937.2_mrna_565	YCL039W
lcl|BK006937.2_mrna_566	YCL038C
lcl|BK006937.2_mrna_567	YCL037C
lcl|BK006937.2_mrna_568	YCL036W
lcl|BK006937.2_mrna_569	YCL035C
lcl|BK006937.2_mrna_570	YCL034W
lcl|BK006937.2_mrna_571	YCL033C
lcl|BK006937.2_mrna_572	YCL032W
lcl|BK006937.2_mrna_573	YCL031C
lcl|BK006937.2_mrna_574	YCL030C
lcl|BK006937.2_mrna_575	YCL029C
lcl|BK006937.2_mrna_576	YCL028W
lcl|BK006937.2_mrna_577	YCL027W
lcl|BK006937.2_mrna_578	YCL026C-B
lcl|BK006937.2_mrna_579	YCL026C-A
lcl|BK006937.2_mrna_580	YCL025C
lcl|BK006937.2_mrna_581	YCL024W
lcl|BK006937.2_trna_582	tE(UUC)C
lcl|BK006937.2_mrna_583	YCL021W-A
lcl|BK006937.2_mrna_584	YCL019W
lcl|BK006937.2_mrna_585	YCL020W
lcl|BK006937.2_trna_586	tL(CAA)C
lcl|BK006937.2_mrna_587	YCL018W
lcl|BK006937.2_mrna_588	YCL017C
lcl|BK006937.2_mrna_589	YCL016C
lcl|BK006937.2_mrna_590	YCL014W
lcl|BK006937.2_mrna_591	YCL012C
lcl|BK006937.2_mrna_592	YCL011C
lcl|BK006937.2_mrna_593	YCL010C
lcl|BK006937.2_mrna_594	YCL009C
lcl|BK006937.2_mrna_595	YCL008C
lcl|BK006937.2_mrna_596	YCL005W-A
lcl|BK006937.2_ncrna_597	snR43
lcl|BK006937.2_mrna_598	YCL005W
lcl|BK006937.2_mrna_599	YCL004W
lcl|BK006937.2_mrna_600	YCL002C
lcl|BK006937.2_mrna_601	YCL001W
